task_id,description,required_skills,complexity,deadline_days,department
T1000,Build a SQL microservice using Flask,AWS;Flask;React,4,8,Engineering
T1001,Build a MongoDB microservice using Python,AWS;Flask,3,6,Engineering
T1002,Write unit tests using React,Kubernetes;Flask;Docker;Python,2,11,Engineering
T1003,Set up CI/CD with Docker,SQL;Flask;MongoDB;AWS,5,5,Engineering
T1004,Build a Flask microservice using SQL,Python;AWS;Flask;MongoDB,3,9,Engineering
T1005,Write unit tests using MongoDB,React;Docker;Kubernetes;Git,1,4,Engineering
T1006,Set up CI/CD with SQL,MongoDB;Docker;Git,2,4,Engineering
T1007,Write unit tests using Flask,MongoDB;AWS,4,11,Engineering
T1008,Set up CI/CD with Docker,SQL;AWS,4,11,Engineering
T1009,Set up CI/CD with Python,Git;Python;MongoDB,3,2,Engineering
T1010,Build a AWS microservice using React,Flask;Docker,5,7,Engineering
T1011,Build a Kubernetes microservice using AWS,Git;Docker;React,4,2,Engineering
T1012,Write unit tests using Flask,SQL;Python;Flask;Git,4,7,Engineering
T1013,Write unit tests using Flask,Flask;Git;AWS,4,3,Engineering
T1014,Build a Git microservice using MongoDB,Git;Kubernetes,5,6,Engineering
T1015,Write unit tests using SQL,Python;AWS;Git;Kubernetes,2,2,Engineering
T1016,Set up CI/CD with Git,Docker;AWS;SQL,3,13,Engineering
T1017,Set up CI/CD with SQL,React;Flask,1,4,Engineering
T1018,Set up CI/CD with Python,Python;SQL,5,8,Engineering
T1019,Write unit tests using Python,Flask;Kubernetes,5,4,Engineering
T1020,Write unit tests using MongoDB,Docker;Python,5,11,Engineering
T1021,Build a AWS microservice using Docker,Docker;Flask;Kubernetes,1,9,Engineering
T1022,Build a Kubernetes microservice using Git,SQL;Python,5,8,Engineering
T1023,Build a Python microservice using React,Flask;Kubernetes,1,4,Engineering
T1024,Build a React microservice using Python,SQL;Git;React;Kubernetes,4,8,Engineering
T1025,Set up CI/CD with Kubernetes,Docker;AWS;SQL;Kubernetes,3,13,Engineering
T1026,Set up CI/CD with SQL,SQL;React,4,13,Engineering
T1027,Write unit tests using Git,Kubernetes;Git,3,13,Engineering
T1028,Build a MongoDB microservice using React,Python;MongoDB;AWS,3,5,Engineering
T1029,Set up CI/CD with Kubernetes,MongoDB;Kubernetes;SQL;Git,1,13,Engineering
T1030,Set up CI/CD with Git,Kubernetes;SQL,1,5,Engineering
T1031,Write unit tests using Python,AWS;MongoDB,2,3,Engineering
T1032,Build a Python microservice using React,Docker;AWS,4,13,Engineering
T1033,Write unit tests using MongoDB,Flask;Docker;AWS;SQL,4,11,Engineering
T1034,Write unit tests using SQL,AWS;Git;MongoDB;Python,3,7,Engineering
T1035,Write unit tests using Git,Python;MongoDB;AWS,2,7,Engineering
T1036,Build a Flask microservice using Kubernetes,Docker;Flask;Kubernetes;SQL,2,10,Engineering
T1037,Build a Kubernetes microservice using Docker,SQL;Python;Kubernetes,1,3,Engineering
T1038,Write unit tests using Docker,React;Docker;Flask;Git,2,14,Engineering
T1039,Write unit tests using Kubernetes,AWS;Git;React,5,13,Engineering
T1040,Set up CI/CD with MongoDB,SQL;Flask,4,12,Engineering
T1041,Write unit tests using React,Docker;SQL,4,4,Engineering
T1042,Write unit tests using SQL,Flask;SQL;Python,4,8,Engineering
T1043,Set up CI/CD with Flask,Python;Kubernetes;SQL;Flask,2,10,Engineering
T1044,Build a AWS microservice using Git,Kubernetes;Flask;MongoDB;Git,4,2,Engineering
